Symbol,MinDate,MaxDate,TotalRows
GRMN,2022-12-19 09:30:00,2024-12-19 09:45:00,40175
CTSH,2022-12-19 08:00:00,2024-12-19 09:25:00,41631
UPS,2022-12-19 07:00:00,2024-12-19 10:45:00,45639
CZR,2022-12-19 09:05:00,2024-12-19 09:20:00,44860
PAYC,2022-12-19 09:30:00,2024-12-19 10:25:00,40883
MMC,2022-12-19 09:30:00,2024-12-19 10:05:00,40276
D,2022-12-19 08:00:00,2024-12-19 09:35:00,43325
SWKS,2022-12-19 09:30:00,2024-12-19 10:35:00,43165
IDXX,2022-12-19 07:15:00,2024-12-19 09:55:00,39305
TRMB,2022-12-19 09:30:00,2024-12-19 10:40:00,40467
RMD,2022-12-19 09:30:00,2024-12-19 10:30:00,40977
FTV,2022-12-19 09:30:00,2024-12-19 09:45:00,40257
TECH,2022-12-19 09:30:00,2024-12-19 06:55:00,40107
ZTS,2022-12-19 09:30:00,2024-12-19 10:55:00,40956
ARE,2022-12-19 09:30:00,2024-12-19 09:05:00,40505
BMY,2022-12-19 08:15:00,2024-12-19 09:10:00,50375
HUM,2022-12-19 09:30:00,2024-12-19 09:55:00,42783
AMAT,2022-12-19 08:00:00,2024-12-19 09:05:00,53538
LDOS,2022-12-19 09:25:00,2024-12-19 10:05:00,40402
TROW,2022-12-19 09:10:00,2024-12-19 10:40:00,41006
EMN,2022-12-19 09:30:00,2024-12-19 09:35:00,40126
HON,2022-12-19 07:10:00,2024-12-19 09:55:00,43462
NEE,2022-12-19 06:00:00,2024-12-19 10:15:00,49050
ABT,2022-12-19 08:00:00,2024-12-19 09:00:00,43927
HIG,2022-12-19 09:25:00,2024-12-19 09:50:00,40337
PG,2022-12-19 08:30:00,2024-12-19 10:25:00,45980
ALL,2022-12-19 09:30:00,2024-12-18 17:05:00,40684
COR,2022-12-19 09:30:00,2024-12-19 07:20:00,40293
DHI,2022-12-19 08:00:00,2024-12-19 09:35:00,43572
SPG,2022-12-19 08:50:00,2024-12-19 10:35:00,41577
BWA,2022-12-19 09:30:00,2024-12-18 17:05:00,41003
QRVO,2022-12-19 09:25:00,2024-12-19 10:30:00,41659
AMGN,2022-12-19 09:30:00,2024-12-19 08:30:00,43554
USB,2022-12-19 09:25:00,2024-12-19 10:45:00,48078
LKQ,2022-12-19 09:30:00,2024-12-19 10:05:00,40334
STT,2022-12-19 09:30:00,2024-12-19 10:35:00,41037
MLM,2022-12-19 09:30:00,2024-12-19 10:05:00,38906
SBAC,2022-12-19 09:30:00,2024-12-19 10:30:00,40064
GEN,2022-12-19 09:30:00,2024-12-19 09:50:00,41334
AFL,2022-12-19 09:30:00,2024-12-19 06:15:00,40908
GLW,2022-12-19 08:00:00,2024-12-19 09:30:00,43651
HRL,2022-12-19 09:30:00,2024-12-19 09:55:00,41601
GOOGL,2022-12-19 04:00:00,2024-12-19 09:05:00,84941
TRGP,2022-12-19 09:30:00,2024-12-19 10:40:00,40398
KLAC,2022-12-19 09:30:00,2024-12-19 10:00:00,41945
FICO,2022-12-19 09:30:00,2024-12-19 09:45:00,31251
MNST,2022-12-19 09:30:00,2024-12-19 10:15:00,43625
GDDY,2022-12-19 09:30:00,2024-12-19 09:50:00,40760
NXPI,2022-12-19 07:00:00,2024-12-19 10:20:00,43724
CSGP,2022-12-19 08:25:00,2024-12-19 09:30:00,40932
AJG,2022-12-19 09:30:00,2024-12-18 17:05:00,40152
ADM,2022-12-19 06:25:00,2024-12-19 08:45:00,43292
TAP,2022-12-19 09:30:00,2024-12-19 10:10:00,40761
PPL,2022-12-19 09:25:00,2024-12-19 10:25:00,41182
LRCX,2022-12-19 09:05:00,2024-12-19 10:05:00,46311
EVRG,2022-12-19 09:30:00,2024-12-19 09:40:00,40459
NFLX,2022-12-19 06:05:00,2024-12-19 10:15:00,58952
MKC,2022-12-19 09:30:00,2024-12-19 10:10:00,40614
HII,2022-12-19 09:30:00,2024-12-19 09:55:00,37283
BLK,2022-12-19 09:30:00,2024-12-19 09:15:00,40477
WFC,2022-12-19 04:45:00,2024-12-19 10:50:00,54972
KO,2022-12-19 04:00:00,2024-12-19 09:25:00,59060
HST,2022-12-19 09:30:00,2024-12-19 09:55:00,41097
GIS,2022-12-19 08:00:00,2024-12-19 09:50:00,42750
WYNN,2022-12-19 05:40:00,2024-12-19 10:50:00,46762
CMS,2022-12-19 09:20:00,2024-12-19 04:25:00,40117
TMUS,2022-12-19 09:25:00,2024-12-19 10:40:00,44570
DOC,2022-12-19 09:30:00,2024-12-19 09:50:00,41050
NI,2022-12-19 09:30:00,2024-12-19 10:15:00,40506
CPB,2022-12-19 07:00:00,2024-12-19 08:45:00,41628
PPG,2022-12-19 09:30:00,2024-12-19 10:25:00,40725
ROK,2022-12-19 09:30:00,2024-12-19 10:30:00,40396
ADI,2022-12-19 09:30:00,2024-12-19 08:35:00,43484
CHD,2022-12-19 09:25:00,2024-12-19 08:50:00,40278
LMT,2022-12-19 07:00:00,2024-12-19 10:05:00,42481
BXP,2022-12-19 08:00:00,2024-12-18 16:10:00,40992
WMT,2022-12-19 07:00:00,2024-12-19 10:50:00,56740
STX,2022-12-19 08:20:00,2024-12-19 10:35:00,42451
AXP,2022-12-19 06:50:00,2024-12-19 08:55:00,45630
RF,2022-12-19 09:30:00,2024-12-19 10:30:00,43110
POOL,2022-12-19 09:30:00,2024-12-19 10:25:00,38621
ABBV,2022-12-19 08:10:00,2024-12-19 08:50:00,45247
KEYS,2022-12-19 09:30:00,2024-12-19 10:00:00,40649
WRB,2022-12-19 09:30:00,2024-12-19 10:50:00,40230
FSLR,2022-12-19 06:45:00,2024-12-19 09:45:00,50263
MSFT,2022-12-19 04:00:00,2024-12-19 10:10:00,83822
TEL,2022-12-19 09:30:00,2024-12-19 10:40:00,40220
RL,2022-12-19 08:15:00,2024-12-19 10:30:00,40599
MAS,2022-12-19 09:30:00,2024-12-19 10:10:00,40384
CSX,2022-12-19 08:15:00,2024-12-19 09:30:00,44667
PSA,2022-12-19 09:30:00,2024-12-19 10:25:00,40100
GOOG,2022-12-19 04:05:00,2024-12-19 09:05:00,81267
LW,2022-12-19 09:25:00,2024-12-19 10:05:00,41174
IRM,2022-12-19 07:30:00,2024-12-19 10:00:00,41135
WMB,2022-12-19 08:45:00,2024-12-19 10:50:00,42414
ACN,2022-12-19 09:10:00,2024-12-19 09:00:00,42240
WAB,2022-12-19 09:30:00,2024-12-19 10:50:00,40091
TTWO,2022-12-19 08:10:00,2024-12-19 10:40:00,42336
RVTY,2022-12-19 09:05:00,2024-12-19 10:30:00,39976
ODFL,2022-12-19 09:30:00,2024-12-19 10:20:00,40630
DPZ,2022-12-19 09:30:00,2024-12-19 09:35:00,40725
HLT,2022-12-19 09:30:00,2024-12-19 09:50:00,40804
DLTR,2022-12-19 09:30:00,2024-12-19 09:35:00,43710
CTRA,2022-12-19 08:00:00,2024-12-19 09:30:00,48912
VTR,2022-12-19 09:30:00,2024-12-19 10:45:00,40663
CMCSA,2022-12-19 07:00:00,2024-12-19 09:25:00,48542
ABNB,2022-12-19 04:05:00,2024-12-19 09:00:00,54328
FDX,2022-12-19 08:00:00,2024-12-19 09:45:00,44493
CHTR,2022-12-19 09:30:00,2024-12-19 09:25:00,41334
DHR,2022-12-19 09:25:00,2024-12-19 09:30:00,42106
NWS,2022-12-19 09:30:00,2024-12-19 10:15:00,39971
MDLZ,2022-12-19 04:35:00,2024-12-19 10:15:00,44023
NOC,2022-12-19 09:30:00,2024-12-19 10:15:00,40800
KMX,2022-12-19 08:35:00,2024-12-19 09:20:00,41966
SYY,2022-12-19 09:10:00,2024-12-19 10:35:00,40660
PARA,2022-12-19 07:00:00,2024-12-19 10:20:00,59631
EXR,2022-12-19 09:30:00,2024-12-19 09:40:00,40152
VLTO,2023-10-02 08:20:00,2024-12-19 10:45:00,24830
INTU,2022-12-19 09:20:00,2024-12-19 09:55:00,41988
TDY,2022-12-19 09:30:00,2024-12-19 10:40:00,34850
TFC,2022-12-19 07:00:00,2024-12-19 10:40:00,47919
HPQ,2022-12-19 04:15:00,2024-12-19 09:55:00,46080
CBOE,2022-12-19 09:30:00,2024-12-19 05:55:00,40140
KEY,2022-12-19 09:00:00,2024-12-19 10:00:00,50564
AME,2022-12-19 09:30:00,2024-12-18 17:05:00,40109
GPN,2022-12-19 09:30:00,2024-12-19 09:50:00,40863
UNP,2022-12-19 09:30:00,2024-12-19 10:45:00,41393
CRWD,2022-12-19 05:25:00,2024-12-19 09:30:00,58943
LNT,2022-12-19 09:30:00,2024-12-19 08:55:00,40324
WDC,2022-12-19 07:00:00,2024-12-19 10:50:00,46765
JPM,2022-12-19 04:25:00,2024-12-19 10:00:00,55886
CRL,2022-12-19 09:30:00,2024-12-19 09:25:00,39671
VST,2022-12-19 09:25:00,2024-12-19 10:45:00,48068
FANG,2022-12-19 08:00:00,2024-12-19 09:35:00,43626
MTD,2022-12-19 09:30:00,2024-12-19 10:10:00,28300
ETN,2022-12-19 09:30:00,2024-12-19 09:35:00,41278
J,2022-12-19 09:30:00,2024-12-19 10:00:00,39824
VLO,2022-12-19 07:05:00,2024-12-19 10:45:00,45322
TYL,2022-12-19 09:30:00,2024-12-19 10:40:00,34895
ORCL,2022-12-19 07:45:00,2024-12-19 10:20:00,54764
SYK,2022-12-19 09:30:00,2024-12-19 10:35:00,40743
BKNG,2022-12-19 09:30:00,2024-12-18 19:10:00,36468
IR,2022-12-19 09:30:00,2024-12-19 09:55:00,40401
CF,2022-12-19 08:10:00,2024-12-19 09:00:00,41524
SWK,2022-12-19 07:00:00,2024-12-19 10:35:00,41633
AWK,2022-12-19 08:00:00,2024-12-19 08:55:00,40440
ROL,2022-12-19 09:30:00,2024-12-19 10:30:00,40351
CINF,2022-12-19 09:30:00,2024-12-19 07:40:00,39709
KDP,2022-12-19 04:00:00,2024-12-19 10:00:00,43319
ECL,2022-12-19 09:30:00,2024-12-19 09:35:00,40233
KVUE,2023-05-04 11:45:00,2024-12-19 10:00:00,36547
LH,2022-12-19 09:30:00,2024-12-19 10:05:00,39772
FTNT,2022-12-19 09:25:00,2024-12-19 09:45:00,48944
JNJ,2022-12-19 08:20:00,2024-12-19 10:00:00,48680
EQT,2022-12-19 04:55:00,2024-12-19 09:40:00,46392
DAY,2022-12-19 09:30:00,2024-12-19 09:30:00,40279
MET,2022-12-19 09:30:00,2024-12-19 10:10:00,41961
CTVA,2022-12-19 08:55:00,2024-12-19 09:30:00,41014
URI,2022-12-19 09:30:00,2024-12-19 10:45:00,40521
MAR,2022-12-19 08:35:00,2024-12-19 10:05:00,42006
UHS,2022-12-19 09:30:00,2024-12-19 10:45:00,39836
VZ,2022-12-19 05:25:00,2024-12-19 10:45:00,63280
DRI,2022-12-19 09:30:00,2024-12-19 09:30:00,40551
CPAY,2022-12-19 09:30:00,2024-12-19 09:30:00,39229
AMD,2022-12-19 04:00:00,2024-12-19 09:00:00,91185
NKE,2022-12-19 07:15:00,2024-12-19 10:15:00,59678
WAT,2022-12-19 09:30:00,2024-12-19 10:50:00,38859
WBA,2022-12-19 04:00:00,2024-12-19 10:50:00,61048
XEL,2022-12-19 09:30:00,2024-12-19 10:50:00,41442
PNW,2022-12-19 09:30:00,2024-12-19 10:25:00,40033
IEX,2022-12-19 09:30:00,2024-12-19 09:55:00,38594
VMC,2022-12-19 09:30:00,2024-12-19 10:45:00,40167
DXCM,2022-12-19 05:10:00,2024-12-19 09:35:00,44031
K,2022-12-19 08:30:00,2024-12-19 10:00:00,41733
BG,2022-12-19 09:30:00,2024-12-19 08:00:00,40628
KMI,2022-12-19 04:35:00,2024-12-19 10:00:00,48627
INTC,2022-12-19 04:00:00,2024-12-19 09:55:00,87637
ROST,2022-12-19 09:30:00,2024-12-19 10:30:00,41908
APH,2022-12-19 08:50:00,2024-12-19 09:00:00,41800
A,2022-12-19 07:55:00,2024-12-18 17:20:00,41022
FMC,2022-12-19 09:30:00,2024-12-19 09:45:00,41008
HAS,2022-12-19 04:50:00,2024-12-19 09:50:00,41494
DVA,2022-12-19 09:30:00,2024-12-19 09:30:00,40363
ISRG,2022-12-19 07:00:00,2024-12-19 09:55:00,42870
WBD,2022-12-19 04:00:00,2024-12-19 10:50:00,60935
ACGL,2022-12-19 09:25:00,2024-12-19 08:05:00,40718
PTC,2022-12-19 09:30:00,2024-12-19 10:25:00,40031
META,2022-12-19 04:00:00,2024-12-19 10:10:00,80650
SBUX,2022-12-19 04:00:00,2024-12-19 10:35:00,55030
KKR,2022-12-19 09:25:00,2024-12-19 10:00:00,41682
DECK,2022-12-19 09:30:00,2024-12-19 09:30:00,39860
IVZ,2022-12-19 09:30:00,2024-12-19 10:00:00,41020
KR,2022-12-19 07:20:00,2024-12-19 10:05:00,43674
TDG,2022-12-19 09:30:00,2024-12-19 10:40:00,35516
MAA,2022-12-19 09:30:00,2024-12-19 10:10:00,39854
AIG,2022-12-19 07:00:00,2024-12-18 17:05:00,41846
UDR,2022-12-19 09:30:00,2024-12-19 10:45:00,40239
LEN,2022-12-19 08:20:00,2024-12-19 10:05:00,43081
REG,2022-12-19 09:30:00,2024-12-19 10:30:00,39989
WTW,2022-12-19 09:30:00,2024-12-19 10:50:00,39431
IQV,2022-12-19 09:30:00,2024-12-19 10:00:00,40214
OKE,2022-12-19 08:45:00,2024-12-19 10:20:00,42465
IPG,2022-12-19 09:25:00,2024-12-19 09:55:00,40850
BSX,2022-12-19 09:30:00,2024-12-19 08:00:00,42481
RJF,2022-12-19 08:50:00,2024-12-19 10:30:00,40059
MOH,2022-12-19 09:30:00,2024-12-19 10:10:00,38973
FITB,2022-12-19 08:55:00,2024-12-19 09:45:00,44135
ITW,2022-12-19 09:30:00,2024-12-19 09:55:00,40287
GNRC,2022-12-19 07:00:00,2024-12-19 09:50:00,42588
WY,2022-12-19 08:35:00,2024-12-19 10:50:00,41677
EW,2022-12-19 09:25:00,2024-12-19 09:35:00,41865
STZ,2022-12-19 09:30:00,2024-12-19 09:30:00,41028
ANET,2022-12-19 09:30:00,2024-12-19 09:10:00,47206
PFG,2022-12-19 09:25:00,2024-12-19 10:25:00,40240
LVS,2022-12-19 04:00:00,2024-12-19 10:05:00,46904
CSCO,2022-12-19 04:55:00,2024-12-19 09:25:00,57104
ALLE,2022-12-19 09:30:00,2024-12-19 04:10:00,39806
EIX,2022-12-19 09:30:00,2024-12-19 09:35:00,40370
KMB,2022-12-19 07:00:00,2024-12-19 10:00:00,41012
EG,2022-12-19 09:30:00,2024-12-19 09:40:00,37737
PWR,2022-12-19 09:25:00,2024-12-19 10:30:00,40458
BALL,2022-12-19 09:30:00,2024-12-18 17:05:00,40382
HSY,2022-12-19 08:10:00,2024-12-19 09:50:00,41527
ADSK,2022-12-19 09:30:00,2024-12-18 18:00:00,42209
TT,2022-12-19 09:30:00,2024-12-19 10:40:00,40268
HD,2022-12-19 07:50:00,2024-12-19 09:50:00,46311
NDAQ,2022-12-19 08:50:00,2024-12-19 10:15:00,42885
MCHP,2022-12-19 09:30:00,2024-12-19 10:10:00,45562
MU,2022-12-19 05:40:00,2024-12-19 10:10:00,74452
RCL,2022-12-19 07:00:00,2024-12-19 10:30:00,47877
CAG,2022-12-19 08:30:00,2024-12-19 09:25:00,42387
ADBE,2022-12-19 04:00:00,2024-12-19 09:00:00,49208
AMTM,2024-09-30 07:15:00,2024-12-19 09:05:00,4868
QCOM,2022-12-19 04:25:00,2024-12-19 10:30:00,60813
OMC,2022-12-19 09:30:00,2024-12-19 10:20:00,40456
SYF,2022-12-19 09:30:00,2024-12-19 10:35:00,41983
FDS,2022-12-19 09:30:00,2024-12-19 09:45:00,35799
UAL,2022-12-19 05:25:00,2024-12-19 10:45:00,59138
CAT,2022-12-19 04:00:00,2024-12-19 09:05:00,46621
DVN,2022-12-19 04:50:00,2024-12-19 09:35:00,59044
FCX,2022-12-19 04:10:00,2024-12-19 09:45:00,57727
NVDA,2022-12-19 04:00:00,2024-12-19 10:20:00,93871
WM,2022-12-19 09:20:00,2024-12-19 10:50:00,41162
LULU,2022-12-19 04:25:00,2024-12-19 10:05:00,46328
GS,2022-12-19 07:00:00,2024-12-19 09:50:00,46278
IP,2022-12-19 06:10:00,2024-12-19 09:55:00,43197
MKTX,2022-12-19 09:30:00,2024-12-19 10:05:00,38333
CB,2022-12-19 09:30:00,2024-12-19 09:25:00,40947
SNA,2022-12-19 09:25:00,2024-12-19 10:35:00,37335
FE,2022-12-19 09:30:00,2024-12-19 09:45:00,40699
WELL,2022-12-19 09:25:00,2024-12-19 10:50:00,40759
PEG,2022-12-19 08:35:00,2024-12-19 10:25:00,40455
JKHY,2022-12-19 09:30:00,2024-12-19 10:00:00,39358
FAST,2022-12-19 09:30:00,2024-12-19 09:45:00,41609
DAL,2022-12-19 04:00:00,2024-12-19 09:35:00,61096
CHRW,2022-12-19 09:30:00,2024-12-19 04:30:00,40421
ZBH,2022-12-19 09:30:00,2024-12-19 10:55:00,40536
APD,2022-12-19 09:25:00,2024-12-18 17:05:00,40631
EPAM,2022-12-19 09:30:00,2024-12-19 09:40:00,39636
NDSN,2022-12-19 09:30:00,2024-12-19 10:15:00,35113
BKR,2022-12-19 08:10:00,2024-12-19 09:00:00,44286
ALB,2022-12-19 07:45:00,2024-12-19 08:30:00,49266
VRSK,2022-12-19 09:25:00,2024-12-19 10:45:00,40280
CAH,2022-12-19 05:05:00,2024-12-18 18:35:00,40916
OXY,2022-12-19 04:00:00,2024-12-19 10:20:00,72910
CDW,2022-12-19 09:30:00,2024-12-19 07:15:00,40252
VTRS,2022-12-19 09:25:00,2024-12-19 10:45:00,43105
OTIS,2022-12-19 09:30:00,2024-12-19 10:20:00,40425
ETR,2022-12-19 09:30:00,2024-12-19 09:40:00,40238
DOW,2022-12-19 08:10:00,2024-12-19 09:35:00,44873
TJX,2022-12-19 07:00:00,2024-12-19 10:40:00,43138
TXT,2022-12-19 08:40:00,2024-12-19 10:40:00,40492
AAPL,2022-12-19 04:00:00,2024-12-19 09:10:00,92310
MRNA,2022-12-19 04:00:00,2024-12-19 10:10:00,56513
CPRT,2022-12-19 09:30:00,2024-12-19 09:30:00,42569
LHX,2022-12-19 04:55:00,2024-12-19 10:05:00,40549
LIN,2022-12-19 06:00:00,2024-12-19 10:05:00,43635
ERIE,2022-12-19 09:30:00,2024-12-19 09:40:00,24730
AOS,2022-12-19 09:30:00,2024-12-19 06:00:00,40165
SRE,2022-12-19 09:30:00,2024-12-19 10:35:00,40522
ADP,2022-12-19 09:30:00,2024-12-19 08:40:00,41178
EOG,2022-12-19 08:20:00,2024-12-19 09:40:00,43119
AEE,2022-12-19 09:30:00,2024-12-19 07:05:00,40055
JCI,2022-12-19 09:30:00,2024-12-19 10:00:00,41243
SO,2022-12-19 08:30:00,2024-12-19 10:35:00,42209
MO,2022-12-19 04:20:00,2024-12-19 09:05:00,55040
FOX,2022-12-19 09:30:00,2024-12-19 09:45:00,40327
TMO,2022-12-19 09:30:00,2024-12-19 10:40:00,41446
JBHT,2022-12-19 09:30:00,2024-12-19 10:00:00,40395
CLX,2022-12-19 09:30:00,2024-12-18 16:00:00,41045
EXPE,2022-12-19 08:10:00,2024-12-19 09:40:00,44408
PODD,2022-12-19 08:15:00,2024-12-19 09:55:00,40208
MCO,2022-12-19 09:30:00,2024-12-19 10:15:00,39981
EBAY,2022-12-19 04:10:00,2024-12-19 09:35:00,44763
TSLA,2022-12-19 04:00:00,2024-12-19 10:40:00,95846
HCA,2022-12-19 09:30:00,2024-12-19 09:50:00,40674
IT,2022-12-19 09:30:00,2024-12-19 09:45:00,38360
EQIX,2022-12-19 09:30:00,2024-12-19 09:40:00,39071
NEM,2022-12-19 04:00:00,2024-12-19 10:15:00,60948
DLR,2022-12-19 09:30:00,2024-12-19 09:35:00,41444
WEC,2022-12-19 09:30:00,2024-12-19 10:50:00,40269
NWSA,2022-12-19 09:30:00,2024-12-19 10:15:00,40536
MCD,2022-12-19 08:20:00,2024-12-19 10:10:00,46232
TGT,2022-12-19 07:00:00,2024-12-19 10:40:00,50640
STLD,2022-12-19 09:25:00,2024-12-19 10:35:00,41105
CNP,2022-12-19 09:30:00,2024-12-19 05:40:00,40600
ED,2022-12-19 09:30:00,2024-12-19 09:30:00,40580
SCHW,2022-12-19 07:40:00,2024-12-19 09:25:00,52510
PYPL,2022-12-19 04:00:00,2024-12-19 10:25:00,74847
MRK,2022-12-19 08:00:00,2024-12-19 10:10:00,47788
TSN,2022-12-19 07:15:00,2024-12-19 10:40:00,42862
MOS,2022-12-19 07:25:00,2024-12-19 10:15:00,44750
ORLY,2022-12-19 09:30:00,2024-12-19 10:20:00,38542
GEV,2024-04-02 05:35:00,2024-12-19 09:45:00,17407
HWM,2022-12-19 09:30:00,2024-12-19 09:55:00,41216
CTAS,2022-12-19 09:30:00,2024-12-19 09:25:00,38769
CL,2022-12-19 09:30:00,2024-12-18 17:05:00,42204
GE,2022-12-19 08:00:00,2024-12-19 09:45:00,50696
CI,2022-12-19 09:30:00,2024-12-19 09:25:00,41199
NTAP,2022-12-19 09:30:00,2024-12-19 10:15:00,41600
GEHC,2022-12-19 09:30:00,2024-12-19 09:45:00,44170
MGM,2022-12-19 08:00:00,2024-12-19 10:10:00,45882
TPR,2022-12-19 09:25:00,2024-12-19 10:40:00,42358
LYV,2022-12-19 07:20:00,2024-12-19 10:05:00,41408
FFIV,2022-12-19 09:30:00,2024-12-19 09:40:00,39692
MPWR,2022-12-19 09:30:00,2024-12-19 10:15:00,39867
PLTR,2022-12-19 04:00:00,2024-12-19 10:20:00,93589
KHC,2022-12-19 08:00:00,2024-12-19 10:05:00,48761
BK,2022-12-19 09:25:00,2024-12-19 07:15:00,42065
EL,2022-12-19 08:20:00,2024-12-19 09:40:00,44745
PANW,2022-12-19 09:25:00,2024-12-19 10:20:00,53047
JNPR,2022-12-19 09:00:00,2024-12-19 10:00:00,42975
UBER,2022-12-19 04:05:00,2024-12-19 10:45:00,70230
VICI,2022-12-19 08:45:00,2024-12-19 10:45:00,44299
LYB,2022-12-19 08:05:00,2024-12-19 10:05:00,41004
DE,2022-12-19 09:30:00,2024-12-19 09:30:00,42786
BRK.B,2022-12-19 06:25:00,2024-12-19 09:05:00,51366
DGX,2022-12-19 09:30:00,2024-12-19 10:30:00,39921
PAYX,2022-12-19 09:25:00,2024-12-19 10:20:00,41193
PGR,2022-12-19 09:30:00,2024-12-19 10:25:00,41213
AEP,2022-12-19 08:00:00,2024-12-18 17:05:00,42220
AMT,2022-12-19 09:25:00,2024-12-19 09:05:00,41395
APA,2022-12-19 05:40:00,2024-12-19 09:05:00,48495
KIM,2022-12-19 09:30:00,2024-12-19 10:00:00,40605
SMCI,2022-12-19 07:25:00,2024-12-19 10:35:00,67168
RTX,2022-12-19 04:00:00,2024-12-19 10:30:00,47187
C,2022-12-19 04:10:00,2024-12-19 09:25:00,60486
GILD,2022-12-19 04:05:00,2024-12-19 09:50:00,46594
COP,2022-12-19 04:25:00,2024-12-19 09:25:00,46480
CVX,2022-12-19 05:25:00,2024-12-19 09:25:00,55452
XOM,2022-12-19 04:05:00,2024-12-19 09:40:00,63186
